name,count
肖战,2549
王一博,2468
杨幂,1811
赵丽颖,1723
虞书欣,1668
王鹤棣,1490
杨紫,1444
迪丽热巴,1432
刘亦菲,1206
王俊凯,1194
张艺兴,1174
赵露思,1164
张杰,1149
周深,1048
鹿晗,1016
刘宇宁,974
宋亚轩,920
王源,907
白敬亭,897
关晓彤,893
成毅,875
张凌赫,832
孟子义,830
周杰伦,803
刘诗诗,742
谢娜,728
汪苏泷,723
龚俊,708
刘耀文,707
吴磊,700
蔡徐坤,695
鞠婧祎,694
魏大勋,692
黄子韬,647
檀健次,645
马嘉祺,643
丁程鑫,641
华晨宇,630
王安宇,625
田曦薇,625
丁禹兮,624
李昀锐,615
薛之谦,597
杨洋,594
朱一龙,581
范丞丞,560
邓超,557
林俊杰,553
王嘉尔,552
张若昀,552
沈腾,550
李现,492
陈哲远,491
黄景瑜,487
严浩翔,481
唐嫣,478
张真源,477
张婧仪,467
辛芷蕾,464
白鹿,463
于正,460
赵今麦,456
李一桐,443
贾玲,435
陈都灵,424
黄晓明,420
何炅,416
任嘉伦,410
李沁,401
金晨,396
沈月,379
贺峻霖,379
宋茜,376
张小斐,375
秦岚,373
卢昱晓,371
陈楚生,366
杨迪,359
胡歌,358
罗云熙,357
陈飞宇,354
戚薇,348
宋雨琦,347
林更新,344
那英,338
于适,335
向佐,335
王楚然,334
张颂文,331
谭松韵,327
曾舜晞,320
张远,317
许凯,317
张晚意,313
杨超越,312
陈伟霆,305
娜扎,299
吴宣仪,299
侯明昊,292
胡先煦,288
章若楠,288
张元英,282
张雨绮,281
Jennie,278
李宇春,276
倪妮,275
宋威龙,275
刘浩存,273
张新成,273
马丽,272
祝绪丹,271
李雪琴,259
张予曦,259
刘昊然,257
麦琳,253
张子枫,253
张彬彬,252
吴京,252
周雨彤,251
李兰迪,247
刘雨昕,247
苏新皓,247
马思纯,246
金秀贤,245
宋祖儿,245
权志龙,243
邓紫棋,239
王心凌,238
陈赫,233
郑恺,233
张哲瀚,232
王星越,231
黄明昊,230
朱志鑫,229
黄圣依,226
刘涛,226
徐艺洋,226
陈丽君,225
沈梦辰,223
王栎鑫,222
陈奕迅,221
吴昕,221
王玉雯,221
章子怡,220
陈晓,219
刘德华,217
李易峰,217
欧阳娜娜,216
李荣浩,215
杨丞琳,213
徐明浩,213
吴谨言,213
刘宇,212
张馨予,210
谢霆锋,207
张碧晨,205
周也,205
钟楚曦,204
岳云鹏,203
程潇,203
许嵩,202
周冬雨,202
董璇,201
彭昱畅,199
王力宏,197
蔡依林,196
徐志胜,196
曾黎,196
惠英红,193
宋妍霏,190
陈星旭,190
吴亦凡,188
孙怡,186
宋佳,186
周柯宇,186
金靖,185
张艺谋,183
陈乔恩,182
黄磊,181
毛晓彤,181
敖瑞鹏,179
张柏芝,179
秦海璐,179
李承铉,178
林一,177
孙千,177
单依纯,176
徐冬冬,174
宋轶,174
蔡文静,174
郭碧婷,172
金莎,169
井柏然,167
